NAME,Avg_HH_Size_2010,Avg_HH_Size_2020
"Fairfield County, Connecticut",2.68,2.65
"Litchfield County, Connecticut",2.44,2.35
"New Haven County, Connecticut",2.49,2.43
"Bergen County, New Jersey",2.66,2.7
"Essex County, New Jersey",2.68,2.68
"Hudson County, New Jersey",2.54,2.48
"Hunterdon County, New Jersey",2.62,2.56
"Mercer County, New Jersey",2.61,2.64
"Middlesex County, New Jersey",2.8,2.8
"Monmouth County, New Jersey",2.66,2.6
"Morris County, New Jersey",2.68,2.66
"Ocean County, New Jersey",2.58,2.64
"Passaic County, New Jersey",2.94,2.91
"Somerset County, New Jersey",2.71,2.72
"Sussex County, New Jersey",2.69,2.56
"Union County, New Jersey",2.82,2.84
"Warren County, New Jersey",2.57,2.49
"Bronx County, New York",2.77,2.72
"Dutchess County, New York",2.57,2.49
"Kings County, New York",2.69,2.66
"Nassau County, New York",2.94,3.02
"New York County, New York",1.99,1.98
"Orange County, New York",2.86,2.86
"Putnam County, New York",2.77,2.7
"Queens County, New York",2.82,2.8
"Richmond County, New York",2.78,2.82
"Rockland County, New York",3.07,3.22
"Suffolk County, New York",2.93,2.89
"Sullivan County, New York",2.45,2.46
"Ulster County, New York",2.4,2.32
"Westchester County, New York",2.65,2.67
